;time;customer;location
78;07:04:00;Daniel Gross;entrance
79;07:04:00;Mary Sims;entrance
80;07:04:00;William Church;entrance
81;07:04:00;Jennifer Zimmerman;entrance
82;07:04:00;Lee Obrien;entrance
83;07:05:00;Barbara French;spices
84;07:05:00;Taylor English;dairy
85;07:05:00;Laura Hernandez;drinks
86;07:05:00;Patrick Kirk;spices
87;07:05:00;John Perry;drinks
88;07:05:00;Jason Carlson;spices
89;07:05:00;Steven Flores;dairy
90;07:05:00;Peter Smith;fruit
91;07:05:00;Julie Long;drinks
92;07:05:00;Stephanie Perkins;drinks
93;07:05:00;Joseph Burgess;spices
94;07:05:00;Christian Cook;checkout and leave
95;07:05:00;Victoria Chandler;drinks
96;07:05:00;Deborah Collins;checkout and leave
97;07:05:00;James Brown;dairy
98;07:05:00;Daniel Atkins;dairy
99;07:05:00;Rita Henderson;spices
100;07:05:00;Dr. Jill Williams;fruit
101;07:05:00;Melissa Soto;checkout and leave
102;07:05:00;Abigail Allen;spices
103;07:05:00;Mrs. Lynn Robles;drinks
104;07:05:00;Mandy Buck;dairy
105;07:05:00;Daniel Gross;fruit
106;07:05:00;Mary Sims;drinks
107;07:05:00;William Church;spices
108;07:05:00;Jennifer Zimmerman;dairy
109;07:05:00;Lee Obrien;dairy
110;07:06:00;Barbara French;dairy
111;07:06:00;Taylor English;dairy
112;07:06:00;Laura Hernandez;drinks
113;07:06:00;Patrick Kirk;spices
114;07:06:00;John Perry;fruit
115;07:06:00;Jason Carlson;fruit
116;07:06:00;Steven Flores;spices
117;07:06:00;Peter Smith;fruit
118;07:06:00;Julie Long;dairy
119;07:06:00;Stephanie Perkins;drinks
120;07:06:00;Joseph Burgess;dairy
121;07:06:00;Victoria Chandler;dairy
122;07:06:00;James Brown;fruit
123;07:06:00;Daniel Atkins;spices
124;07:06:00;Rita Henderson;dairy
125;07:06:00;Dr. Jill Williams;drinks
126;07:06:00;Abigail Allen;checkout and leave
127;07:06:00;Mrs. Lynn Robles;fruit
128;07:06:00;Mandy Buck;drinks
129;07:06:00;Daniel Gross;drinks
130;07:06:00;Mary Sims;fruit
131;07:06:00;William Church;dairy
132;07:06:00;Jennifer Zimmerman;drinks
133;07:06:00;Lee Obrien;checkout and leave
134;07:06:00;Audrey Brown;entrance
135;07:06:00;Jonathon Duran;entrance
136;07:06:00;Cynthia Ward;entrance
137;07:06:00;Alicia Carroll;entrance
138;07:06:00;Elizabeth Chavez;entrance
139;07:06:00;David Turner;entrance
140;07:06:00;Robyn Dodson;entrance
141;07:06:00;Corey Gonzalez;entrance
142;07:07:00;Barbara French;dairy
143;07:07:00;Taylor English;dairy
144;07:07:00;Laura Hernandez;checkout and leave
145;07:07:00;Patrick Kirk;dairy
146;07:07:00;John Perry;dairy
147;07:07:00;Jason Carlson;checkout and leave
148;07:07:00;Steven Flores;drinks
149;07:07:00;Peter Smith;fruit
150;07:07:00;Julie Long;drinks
151;07:07:00;Stephanie Perkins;spices
152;07:07:00;Joseph Burgess;drinks
153;07:07:00;Victoria Chandler;fruit
154;07:07:00;James Brown;checkout and leave
155;07:07:00;Daniel Atkins;checkout and leave
156;07:07:00;Rita Henderson;dairy
157;07:07:00;Dr. Jill Williams;fruit
158;07:07:00;Mrs. Lynn Robles;fruit
159;07:07:00;Mandy Buck;fruit
160;07:07:00;Daniel Gross;drinks
161;07:07:00;Mary Sims;drinks
162;07:07:00;William Church;dairy
163;07:07:00;Jennifer Zimmerman;fruit
164;07:07:00;Audrey Brown;drinks
165;07:07:00;Jonathon Duran;dairy
166;07:07:00;Cynthia Ward;fruit
167;07:07:00;Alicia Carroll;drinks
168;07:07:00;Elizabeth Chavez;dairy
169;07:07:00;David Turner;dairy
170;07:07:00;Robyn Dodson;drinks
171;07:07:00;Corey Gonzalez;dairy
172;07:07:00;Terry Howard;entrance
173;07:07:00;Donald Bates;entrance
174;07:07:00;Heather Kirk;entrance
175;07:07:00;Dennis Wilson;entrance
176;07:08:00;Barbara French;fruit
177;07:08:00;Taylor English;dairy
178;07:08:00;Patrick Kirk;drinks
179;07:08:00;John Perry;fruit
180;07:08:00;Steven Flores;dairy
181;07:08:00;Peter Smith;fruit
182;07:08:00;Julie Long;fruit
183;07:08:00;Stephanie Perkins;checkout and leave
184;07:08:00;Joseph Burgess;dairy
185;07:08:00;Victoria Chandler;dairy
186;07:08:00;Daniel Atkins;checkout and leave
187;07:08:00;Rita Henderson;dairy
188;07:08:00;Dr. Jill Williams;dairy
189;07:08:00;Mrs. Lynn Robles;drinks
190;07:08:00;Mandy Buck;drinks
191;07:08:00;Daniel Gross;dairy
192;07:08:00;Mary Sims;dairy
193;07:08:00;William Church;drinks
194;07:08:00;Jennifer Zimmerman;drinks
195;07:08:00;Audrey Brown;dairy
196;07:08:00;Jonathon Duran;drinks
197;07:08:00;Cynthia Ward;checkout and leave
198;07:08:00;Alicia Carroll;spices
199;07:08:00;Elizabeth Chavez;fruit
200;07:08:00;David Turner;spices
201;07:08:00;Robyn Dodson;dairy
202;07:08:00;Corey Gonzalez;dairy
203;07:08:00;Terry Howard;dairy
204;07:08:00;Donald Bates;dairy
205;07:08:00;Heather Kirk;spices
206;07:08:00;Dennis Wilson;spices
207;07:08:00;Connor Potter;entrance
208;07:08:00;Jennifer Farrell;entrance
209;07:08:00;Christopher Garcia;entrance
210;07:08:00;Erin Randolph;entrance
211;07:09:00;Barbara French;dairy
212;07:09:00;Taylor English;dairy
213;07:09:00;Patrick Kirk;fruit
214;07:09:00;John Perry;fruit
215;07:09:00;Steven Flores;spices
216;07:09:00;Peter Smith;spices
217;07:09:00;Julie Long;checkout and leave
218;07:09:00;Joseph Burgess;dairy
219;07:09:00;Victoria Chandler;spices
220;07:09:00;Rita Henderson;dairy
221;07:09:00;Dr. Jill Williams;dairy
222;07:09:00;Mrs. Lynn Robles;dairy
223;07:09:00;Mandy Buck;dairy
224;07:09:00;Daniel Gross;dairy
225;07:09:00;Mary Sims;fruit
226;07:09:00;William Church;drinks
227;07:09:00;Jennifer Zimmerman;checkout and leave
228;07:09:00;Audrey Brown;dairy
229;07:09:00;Jonathon Duran;dairy
230;07:09:00;Alicia Carroll;dairy
231;07:09:00;Elizabeth Chavez;fruit
232;07:09:00;David Turner;checkout and leave
233;07:09:00;Robyn Dodson;dairy
234;07:09:00;Corey Gonzalez;dairy
235;07:09:00;Terry Howard;dairy
236;07:09:00;Donald Bates;dairy
237;07:09:00;Heather Kirk;spices
238;07:09:00;Dennis Wilson;dairy
239;07:09:00;Connor Potter;spices
240;07:09:00;Jennifer Farrell;dairy
241;07:09:00;Christopher Garcia;drinks
242;07:09:00;Erin Randolph;fruit
243;07:09:00;Amy Tapia;entrance
244;07:09:00;Rebecca Gibson;entrance
245;07:10:00;Barbara French;drinks
246;07:10:00;Taylor English;drinks
247;07:10:00;Patrick Kirk;dairy
248;07:10:00;John Perry;fruit
249;07:10:00;Steven Flores;spices
250;07:10:00;Peter Smith;dairy
251;07:10:00;Joseph Burgess;dairy
252;07:10:00;Victoria Chandler;drinks
253;07:10:00;Rita Henderson;drinks
254;07:10:00;Dr. Jill Williams;fruit
255;07:10:00;Mrs. Lynn Robles;fruit
256;07:10:00;Mandy Buck;dairy
257;07:10:00;Daniel Gross;fruit
258;07:10:00;Mary Sims;checkout and leave
259;07:10:00;William Church;drinks
260;07:10:00;Audrey Brown;dairy
261;07:10:00;Jonathon Duran;fruit
262;07:10:00;Alicia Carroll;checkout and leave
263;07:10:00;Elizabeth Chavez;dairy
264;07:10:00;Robyn Dodson;dairy
265;07:10:00;Corey Gonzalez;drinks
266;07:10:00;Terry Howard;spices
267;07:10:00;Donald Bates;checkout and leave
268;07:10:00;Heather Kirk;dairy
269;07:10:00;Dennis Wilson;dairy
270;07:10:00;Connor Potter;fruit
271;07:10:00;Jennifer Farrell;drinks
272;07:10:00;Christopher Garcia;drinks
273;07:10:00;Erin Randolph;fruit
274;07:10:00;Amy Tapia;dairy
275;07:10:00;Rebecca Gibson;drinks
276;07:10:00;Veronica Watts;entrance
277;07:10:00;Ashley Cooper;entrance
278;07:10:00;Tim Johnson;entrance
279;07:11:00;Barbara French;spices
280;07:11:00;Taylor English;dairy
281;07:11:00;Patrick Kirk;dairy
282;07:11:00;John Perry;dairy
283;07:11:00;Steven Flores;dairy
284;07:11:00;Peter Smith;checkout and leave
285;07:11:00;Joseph Burgess;dairy
286;07:11:00;Victoria Chandler;dairy
287;07:11:00;Rita Henderson;dairy
288;07:11:00;Dr. Jill Williams;spices
289;07:11:00;Mrs. Lynn Robles;dairy
290;07:11:00;Mandy Buck;fruit
291;07:11:00;Daniel Gross;dairy
292;07:11:00;William Church;dairy
293;07:11:00;Audrey Brown;checkout and leave
294;07:11:00;Jonathon Duran;dairy
295;07:11:00;Elizabeth Chavez;dairy
296;07:11:00;Robyn Dodson;dairy
297;07:11:00;Corey Gonzalez;spices
298;07:11:00;Terry Howard;dairy
299;07:11:00;Heather Kirk;dairy
300;07:11:00;Dennis Wilson;spices
301;07:11:00;Connor Potter;dairy
302;07:11:00;Jennifer Farrell;fruit
303;07:11:00;Christopher Garcia;fruit
304;07:11:00;Erin Randolph;fruit
305;07:11:00;Amy Tapia;spices
306;07:11:00;Rebecca Gibson;dairy
307;07:11:00;Veronica Watts;spices
308;07:11:00;Ashley Cooper;dairy
309;07:11:00;Tim Johnson;dairy
310;07:11:00;Barry Morgan;entrance
311;07:11:00;Kimberly Mathis;entrance
312;07:11:00;Travis Lopez;entrance
313;07:11:00;Caleb Warner;entrance
314;07:11:00;Sheryl Bishop;entrance
315;07:11:00;Rebecca Benitez;entrance
316;07:11:00;Denise Smith;entrance
317;07:12:00;Barbara French;fruit
318;07:12:00;Taylor English;spices
319;07:12:00;Patrick Kirk;fruit
320;07:12:00;John Perry;checkout and leave
321;07:12:00;Steven Flores;checkout and leave
322;07:12:00;Joseph Burgess;dairy
323;07:12:00;Victoria Chandler;fruit
324;07:12:00;Rita Henderson;fruit
325;07:12:00;Dr. Jill Williams;dairy
326;07:12:00;Mrs. Lynn Robles;spices
327;07:12:00;Mandy Buck;fruit
328;07:12:00;Daniel Gross;dairy
329;07:12:00;William Church;checkout and leave
330;07:12:00;Jonathon Duran;checkout and leave
331;07:12:00;Elizabeth Chavez;fruit
332;07:12:00;Robyn Dodson;dairy
333;07:12:00;Corey Gonzalez;fruit
334;07:12:00;Terry Howard;checkout and leave
335;07:12:00;Heather Kirk;dairy
336;07:12:00;Dennis Wilson;fruit
337;07:12:00;Connor Potter;dairy
338;07:12:00;Jennifer Farrell;spices
339;07:12:00;Christopher Garcia;spices
340;07:12:00;Erin Randolph;drinks
341;07:12:00;Amy Tapia;dairy
342;07:12:00;Rebecca Gibson;dairy
343;07:12:00;Veronica Watts;checkout and leave
344;07:12:00;Ashley Cooper;checkout and leave
345;07:12:00;Tim Johnson;drinks
346;07:12:00;Barry Morgan;dairy
347;07:12:00;Kimberly Mathis;dairy
348;07:12:00;Travis Lopez;dairy
349;07:12:00;Caleb Warner;spices
350;07:12:00;Sheryl Bishop;drinks
351;07:12:00;Rebecca Benitez;spices
352;07:12:00;Denise Smith;fruit
353;07:12:00;Roy Ruiz;entrance
354;07:12:00;Brent Hess;entrance
355;07:12:00;Luis Camacho;entrance
356;07:12:00;Christopher Murphy;entrance
357;07:12:00;Rodney Santos;entrance
358;07:12:00;Laura Woods;entrance
359;07:12:00;Linda Lam;entrance
360;07:12:00;Albert West;entrance
361;07:12:00;Earl Lee;entrance
362;07:13:00;Barbara French;spices
363;07:13:00;Taylor English;dairy
364;07:13:00;Patrick Kirk;drinks
365;07:13:00;Steven Flores;checkout and leave
366;07:13:00;Joseph Burgess;dairy
367;07:13:00;Victoria Chandler;spices
368;07:13:00;Rita Henderson;drinks
369;07:13:00;Dr. Jill Williams;dairy
370;07:13:00;Mrs. Lynn Robles;spices
371;07:13:00;Mandy Buck;dairy
372;07:13:00;Daniel Gross;dairy
373;07:13:00;Jonathon Duran;checkout and leave
374;07:13:00;Elizabeth Chavez;dairy
375;07:13:00;Robyn Dodson;drinks
376;07:13:00;Corey Gonzalez;drinks
377;07:13:00;Heather Kirk;dairy
378;07:13:00;Dennis Wilson;dairy
379;07:13:00;Connor Potter;fruit
380;07:13:00;Jennifer Farrell;dairy
381;07:13:00;Christopher Garcia;fruit
382;07:13:00;Erin Randolph;fruit
383;07:13:00;Amy Tapia;dairy
384;07:13:00;Rebecca Gibson;drinks
385;07:13:00;Ashley Cooper;checkout and leave
386;07:13:00;Tim Johnson;checkout and leave
387;07:13:00;Barry Morgan;fruit
388;07:13:00;Kimberly Mathis;fruit
389;07:13:00;Travis Lopez;dairy
390;07:13:00;Caleb Warner;dairy
391;07:13:00;Sheryl Bishop;fruit
392;07:13:00;Rebecca Benitez;checkout and leave
393;07:13:00;Denise Smith;fruit
394;07:13:00;Roy Ruiz;fruit
395;07:13:00;Brent Hess;dairy
396;07:13:00;Luis Camacho;spices
397;07:13:00;Christopher Murphy;spices
398;07:13:00;Rodney Santos;dairy
399;07:13:00;Laura Woods;spices
400;07:13:00;Linda Lam;dairy
401;07:13:00;Albert West;fruit
402;07:13:00;Earl Lee;spices
403;07:13:00;Monica Walters;entrance
404;07:13:00;Angie Morgan;entrance
405;07:13:00;Brittany Suarez DVM;entrance
406;07:14:00;Barbara French;spices
407;07:14:00;Taylor English;dairy
408;07:14:00;Patrick Kirk;spices
409;07:14:00;Joseph Burgess;checkout and leave
410;07:14:00;Victoria Chandler;checkout and leave
411;07:14:00;Rita Henderson;fruit
412;07:14:00;Dr. Jill Williams;checkout and leave
413;07:14:00;Mrs. Lynn Robles;spices
414;07:14:00;Mandy Buck;drinks
415;07:14:00;Daniel Gross;spices
416;07:14:00;Elizabeth Chavez;fruit
417;07:14:00;Robyn Dodson;dairy
418;07:14:00;Corey Gonzalez;drinks
419;07:14:00;Heather Kirk;dairy
420;07:14:00;Dennis Wilson;fruit
421;07:14:00;Connor Potter;spices
422;07:14:00;Jennifer Farrell;spices
423;07:14:00;Christopher Garcia;dairy
424;07:14:00;Erin Randolph;dairy
425;07:14:00;Amy Tapia;spices
426;07:14:00;Rebecca Gibson;fruit
427;07:14:00;Tim Johnson;checkout and leave
428;07:14:00;Barry Morgan;drinks
429;07:14:00;Kimberly Mathis;dairy
430;07:14:00;Travis Lopez;checkout and leave
431;07:14:00;Caleb Warner;spices
432;07:14:00;Sheryl Bishop;dairy
433;07:14:00;Denise Smith;checkout and leave
434;07:14:00;Roy Ruiz;drinks
435;07:14:00;Brent Hess;drinks
436;07:14:00;Luis Camacho;dairy
437;07:14:00;Christopher Murphy;drinks
438;07:14:00;Rodney Santos;fruit
439;07:14:00;Laura Woods;fruit
440;07:14:00;Linda Lam;spices
441;07:14:00;Albert West;dairy
442;07:14:00;Earl Lee;checkout and leave
443;07:14:00;Monica Walters;dairy
444;07:14:00;Angie Morgan;spices
445;07:14:00;Brittany Suarez DVM;drinks
446;07:14:00;Manuel Rodriguez;entrance
447;07:14:00;Arthur Murphy;entrance
448;07:14:00;George Robbins;entrance
449;07:14:00;Todd Love;entrance
450;07:14:00;Luis Woodard;entrance
451;07:15:00;Barbara French;dairy
452;07:15:00;Taylor English;dairy
453;07:15:00;Patrick Kirk;spices
454;07:15:00;Victoria Chandler;checkout and leave
455;07:15:00;Rita Henderson;dairy
456;07:15:00;Mrs. Lynn Robles;dairy
457;07:15:00;Mandy Buck;drinks
458;07:15:00;Daniel Gross;fruit
459;07:15:00;Elizabeth Chavez;spices
460;07:15:00;Robyn Dodson;dairy
461;07:15:00;Corey Gonzalez;dairy
462;07:15:00;Heather Kirk;dairy
463;07:15:00;Dennis Wilson;fruit
464;07:15:00;Connor Potter;spices
465;07:15:00;Jennifer Farrell;drinks
466;07:15:00;Christopher Garcia;checkout and leave
467;07:15:00;Erin Randolph;drinks
468;07:15:00;Amy Tapia;drinks
469;07:15:00;Rebecca Gibson;dairy
470;07:15:00;Barry Morgan;checkout and leave
471;07:15:00;Kimberly Mathis;fruit
472;07:15:00;Caleb Warner;dairy
473;07:15:00;Sheryl Bishop;drinks
474;07:15:00;Roy Ruiz;dairy
475;07:15:00;Brent Hess;dairy
476;07:15:00;Luis Camacho;checkout and leave
477;07:15:00;Christopher Murphy;dairy
478;07:15:00;Rodney Santos;spices
479;07:15:00;Laura Woods;checkout and leave
480;07:15:00;Linda Lam;dairy
481;07:15:00;Albert West;checkout and leave
482;07:15:00;Monica Walters;fruit
483;07:15:00;Angie Morgan;dairy
484;07:15:00;Brittany Suarez DVM;dairy
485;07:15:00;Manuel Rodriguez;drinks
486;07:15:00;Arthur Murphy;spices
487;07:15:00;George Robbins;spices
488;07:15:00;Todd Love;dairy
489;07:15:00;Luis Woodard;drinks
490;07:15:00;Mary Hughes;entrance
491;07:15:00;Roger Wells;entrance
492;07:15:00;Alexandra Butler;entrance
493;07:15:00;Joel Rodriguez;entrance
494;07:16:00;Barbara French;fruit
495;07:16:00;Taylor English;dairy
496;07:16:00;Patrick Kirk;spices
497;07:16:00;Rita Henderson;dairy
498;07:16:00;Mrs. Lynn Robles;checkout and leave
499;07:16:00;Mandy Buck;fruit
500;07:16:00;Daniel Gross;fruit
501;07:16:00;Elizabeth Chavez;fruit
502;07:16:00;Robyn Dodson;dairy
503;07:16:00;Corey Gonzalez;spices
504;07:16:00;Heather Kirk;spices
505;07:16:00;Dennis Wilson;dairy
506;07:16:00;Connor Potter;checkout and leave
507;07:16:00;Jennifer Farrell;spices
508;07:16:00;Erin Randolph;checkout and leave
509;07:16:00;Amy Tapia;checkout and leave
510;07:16:00;Rebecca Gibson;checkout and leave
511;07:16:00;Kimberly Mathis;dairy
512;07:16:00;Caleb Warner;checkout and leave
513;07:16:00;Sheryl Bishop;fruit
514;07:16:00;Roy Ruiz;dairy
515;07:16:00;Brent Hess;dairy
516;07:16:00;Christopher Murphy;drinks
517;07:16:00;Rodney Santos;fruit
518;07:16:00;Linda Lam;checkout and leave
519;07:16:00;Monica Walters;checkout and leave
520;07:16:00;Angie Morgan;drinks
521;07:16:00;Brittany Suarez DVM;dairy
522;07:16:00;Manuel Rodriguez;checkout and leave
523;07:16:00;Arthur Murphy;checkout and leave
524;07:16:00;George Robbins;fruit
525;07:16:00;Todd Love;dairy
526;07:16:00;Luis Woodard;drinks
527;07:16:00;Mary Hughes;spices
528;07:16:00;Roger Wells;dairy
529;07:16:00;Alexandra Butler;drinks
530;07:16:00;Joel Rodriguez;drinks
531;07:16:00;Nicole Patterson;entrance
532;07:16:00;Jeremy Holder;entrance
533;07:16:00;Jacqueline Wilson;entrance
534;07:16:00;Kathleen Case;entrance
535;07:17:00;Barbara French;fruit
536;07:17:00;Taylor English;drinks
537;07:17:00;Patrick Kirk;drinks
538;07:17:00;Rita Henderson;dairy
539;07:17:00;Mandy Buck;dairy
540;07:17:00;Daniel Gross;dairy
541;07:17:00;Elizabeth Chavez;dairy
542;07:17:00;Robyn Dodson;fruit
543;07:17:00;Corey Gonzalez;dairy
544;07:17:00;Heather Kirk;fruit
545;07:17:00;Dennis Wilson;dairy
546;07:17:00;Jennifer Farrell;checkout and leave
547;07:17:00;Amy Tapia;checkout and leave
548;07:17:00;Kimberly Mathis;drinks
549;07:17:00;Sheryl Bishop;drinks
550;07:17:00;Roy Ruiz;checkout and leave
551;07:17:00;Brent Hess;dairy
552;07:17:00;Christopher Murphy;dairy
553;07:17:00;Rodney Santos;dairy
554;07:17:00;Monica Walters;checkout and leave
555;07:17:00;Angie Morgan;fruit
556;07:17:00;Brittany Suarez DVM;checkout and leave
557;07:17:00;Arthur Murphy;checkout and leave
558;07:17:00;George Robbins;spices
559;07:17:00;Todd Love;checkout and leave
560;07:17:00;Luis Woodard;dairy
561;07:17:00;Mary Hughes;fruit
562;07:17:00;Roger Wells;fruit
563;07:17:00;Alexandra Butler;fruit
564;07:17:00;Joel Rodriguez;drinks
565;07:17:00;Nicole Patterson;dairy
566;07:17:00;Jeremy Holder;dairy
567;07:17:00;Jacqueline Wilson;spices
568;07:17:00;Kathleen Case;spices
569;07:17:00;Kimberly Livingston;entrance
570;07:17:00;Brianna Griffin;entrance
571;07:17:00;Rachel Fleming;entrance
572;07:18:00;Barbara French;fruit
573;07:18:00;Taylor English;checkout and leave
574;07:18:00;Patrick Kirk;drinks
575;07:18:00;Rita Henderson;checkout and leave
576;07:18:00;Mandy Buck;fruit
577;07:18:00;Daniel Gross;dairy
578;07:18:00;Elizabeth Chavez;drinks
579;07:18:00;Robyn Dodson;drinks
580;07:18:00;Corey Gonzalez;fruit
581;07:18:00;Heather Kirk;checkout and leave
582;07:18:00;Dennis Wilson;dairy
583;07:18:00;Amy Tapia;checkout and leave
584;07:18:00;Kimberly Mathis;checkout and leave
585;07:18:00;Sheryl Bishop;fruit
586;07:18:00;Brent Hess;dairy
587;07:18:00;Christopher Murphy;dairy
588;07:18:00;Rodney Santos;drinks
589;07:18:00;Angie Morgan;fruit
590;07:18:00;Arthur Murphy;checkout and leave
591;07:18:00;George Robbins;drinks
592;07:18:00;Luis Woodard;fruit
593;07:18:00;Mary Hughes;fruit
594;07:18:00;Roger Wells;fruit
595;07:18:00;Alexandra Butler;dairy
596;07:18:00;Joel Rodriguez;drinks
597;07:18:00;Nicole Patterson;dairy
598;07:18:00;Jeremy Holder;dairy
599;07:18:00;Jacqueline Wilson;dairy
600;07:18:00;Kathleen Case;spices
601;07:18:00;Kimberly Livingston;spices
602;07:18:00;Brianna Griffin;fruit
603;07:18:00;Rachel Fleming;dairy
604;07:18:00;Martin Bush;entrance
605;07:18:00;William Rose;entrance
606;07:18:00;Charles Reynolds;entrance
607;07:18:00;Scott Mcdaniel;entrance
608;07:19:00;Barbara French;checkout and leave
609;07:19:00;Patrick Kirk;dairy
610;07:19:00;Mandy Buck;checkout and leave
611;07:19:00;Daniel Gross;checkout and leave
612;07:19:00;Elizabeth Chavez;dairy
613;07:19:00;Robyn Dodson;dairy
614;07:19:00;Corey Gonzalez;fruit
615;07:19:00;Dennis Wilson;drinks
616;07:19:00;Kimberly Mathis;checkout and leave
617;07:19:00;Sheryl Bishop;drinks
618;07:19:00;Brent Hess;fruit
619;07:19:00;Christopher Murphy;dairy
620;07:19:00;Rodney Santos;fruit
621;07:19:00;Angie Morgan;drinks
622;07:19:00;George Robbins;fruit
623;07:19:00;Luis Woodard;drinks
624;07:19:00;Mary Hughes;fruit
625;07:19:00;Roger Wells;dairy
626;07:19:00;Alexandra Butler;drinks
627;07:19:00;Joel Rodriguez;fruit
628;07:19:00;Nicole Patterson;fruit
629;07:19:00;Jeremy Holder;drinks
630;07:19:00;Jacqueline Wilson;fruit
631;07:19:00;Kathleen Case;checkout and leave
632;07:19:00;Kimberly Livingston;dairy
633;07:19:00;Brianna Griffin;drinks
634;07:19:00;Rachel Fleming;dairy
635;07:19:00;Martin Bush;drinks
636;07:19:00;William Rose;spices
637;07:19:00;Charles Reynolds;drinks
638;07:19:00;Scott Mcdaniel;drinks
639;07:19:00;Eric Ramos;entrance
640;07:19:00;Mr. Michael Morales;entrance
641;07:19:00;Terry Jones;entrance
642;07:19:00;Michele Christian;entrance
643;07:19:00;Tracey Hanson;entrance
644;07:19:00;Nicole Mason;entrance
645;07:20:00;Patrick Kirk;fruit
646;07:20:00;Daniel Gross;checkout and leave
647;07:20:00;Elizabeth Chavez;dairy
648;07:20:00;Robyn Dodson;checkout and leave
649;07:20:00;Corey Gonzalez;dairy
650;07:20:00;Dennis Wilson;drinks
651;07:20:00;Sheryl Bishop;drinks
652;07:20:00;Brent Hess;dairy
653;07:20:00;Christopher Murphy;dairy
654;07:20:00;Rodney Santos;dairy
655;07:20:00;Angie Morgan;dairy
656;07:20:00;George Robbins;fruit
657;07:20:00;Luis Woodard;checkout and leave
658;07:20:00;Mary Hughes;spices
659;07:20:00;Roger Wells;fruit
660;07:20:00;Alexandra Butler;drinks
661;07:20:00;Joel Rodriguez;spices
662;07:20:00;Nicole Patterson;drinks
663;07:20:00;Jeremy Holder;dairy
664;07:20:00;Jacqueline Wilson;drinks
665;07:20:00;Kimberly Livingston;fruit
666;07:20:00;Brianna Griffin;fruit
667;07:20:00;Rachel Fleming;drinks
668;07:20:00;Martin Bush;drinks
669;07:20:00;William Rose;dairy
670;07:20:00;Charles Reynolds;drinks
671;07:20:00;Scott Mcdaniel;dairy
672;07:20:00;Eric Ramos;dairy
673;07:20:00;Mr. Michael Morales;dairy
674;07:20:00;Terry Jones;fruit
675;07:20:00;Michele Christian;drinks
676;07:20:00;Tracey Hanson;drinks
677;07:20:00;Nicole Mason;spices
678;07:20:00;John Walton;entrance
679;07:20:00;Jonathan Wu;entrance
